"","Produce-1600-2541-Redacted.txt","Produce-2000.txt","Produce-3000.txt","Produce-4000.txt","Produce-5000.txt","Produce-6000.txt","Produce-Box-1-Redacted.txt","Produce-Box-5-Redacted.txt","Produce-Box-5.txt","Produce-Box-6.txt"
"aka",0,0,0,4,0,0,0,0,0,0
"akana",0,0,0,0,0,0,0,0,0,2
"akandersonaolcom",0,0,0,0,0,0,0,0,1,0
"akard",0,0,0,0,0,0,0,0,0,2
"akargesokstatechambercom",0,0,0,0,0,0,0,0,0,7
"akers",6,0,0,3,17,0,0,0,26,3
"akhunsakergmailcom",0,0,0,0,0,2,0,0,0,0
"akimi",0,0,0,0,15,0,0,0,26,0
"akin",0,0,0,0,0,0,0,0,5,0
"akins",3,0,0,0,0,3,0,0,0,0
"aktelcolawcom",0,0,0,0,0,0,0,0,0,3
"akvavit",0,0,0,0,0,0,0,0,0,1
"ala",0,0,7,0,0,0,0,0,0,0
"alabama",4,0,10,8,0,0,0,0,2,0
"alan",6,0,2,79,33,0,2,0,56,8
"alanandkathyparkergmailcom",0,0,0,0,0,2,0,0,0,0
"alanbrinkmeyerjumpfastercom",0,0,0,16,0,0,0,0,0,0
"alanglanzerusarmymil",0,0,0,0,0,0,0,0,0,1
"alansalmonosbiokgov",0,0,0,0,0,0,0,0,0,3
"alarmed",0,0,0,6,0,0,0,0,0,0
"alarmingly",0,0,0,0,0,0,0,0,4,0
"alaska",0,0,1,16,1,0,0,0,2,0
"alaymanonenetnet",0,0,0,0,0,0,0,0,0,2
"albany",0,0,1,0,0,0,0,0,0,0
"albert",0,0,0,0,0,0,0,0,0,3
"alberta",0,0,0,0,0,2,0,0,0,0
"albertdoe",0,0,2,2,0,0,2,0,0,0
"albertson",0,0,0,0,0,0,0,0,0,2
"albin",0,0,0,0,0,0,0,0,0,2
"albright",0,0,10,0,0,0,0,0,0,0
"albro",37,0,8,11,0,0,13,0,1,1
"albuquerque",0,0,0,3,0,0,0,0,0,0
"alcohol",0,0,0,0,0,0,0,0,0,15
"alcoholic",0,0,0,0,0,0,0,0,0,2
"aldridge",1,0,0,0,0,0,0,0,0,0
"aldridgeoksenategov",0,0,1,1,0,0,0,0,1,0
"ale",3,0,0,0,0,0,0,0,0,0
"alec",172,0,0,45,0,10,0,0,7,0
"alecia",0,0,0,0,0,0,0,0,0,12
"aleciageorgeoagokgov",108,12,0,48,0,0,0,2,2,6
"alecorgciviljustice",52,0,0,0,0,0,0,0,0,0
"alecorgciviljusticehttpsconnectemailsrvrcomowarediraspx",1,0,0,0,0,0,0,0,0,0
"alert",6,0,14,54,0,10,0,0,10,0
"alerting",6,0,0,0,0,0,0,0,0,0
"alex",1,0,0,0,0,0,0,0,0,16
"alexander",0,0,0,0,0,0,0,0,0,2
"alexandertstefanovichuscgmil",0,0,0,0,0,0,0,0,0,2
"alexayoussefouedu",0,0,0,0,0,0,0,0,0,1
"alexcameron",0,0,0,0,0,0,0,0,0,1
"alexcamerongriffincommunicafionsnet",0,0,0,0,0,0,0,0,0,2
"alexcameronnewsnet",0,0,0,0,0,0,0,0,0,2
"alexgerszewskigovokgov",0,0,0,0,0,0,0,0,0,3
"alexlvenosbiokgov",0,0,0,0,0,0,0,0,0,3
"alexspringerjournalrecordcom",0,0,0,0,0,0,0,0,0,3
"alexweintzgovokgov",0,0,0,0,0,0,0,0,0,3
"alfalfa",0,0,0,0,0,0,0,0,0,2
"alfsocoattnet",0,0,0,0,0,0,0,0,0,2
"algarin",0,0,0,0,0,0,0,0,0,4
"alger",0,0,0,0,0,0,0,0,0,3
"alhenryupcom",0,0,0,0,0,0,0,0,0,1
"ali",0,0,0,16,0,0,0,0,0,0
"alice",0,0,0,0,0,0,0,0,0,12
"alicia",18,0,262,0,0,0,10,0,0,4
"aliciamaddocksokwpuscourtsgov",0,0,0,0,0,0,0,0,0,3
"alienate",0,0,0,3,0,0,0,0,0,0
"alike",0,0,0,0,0,0,0,3,3,0
"alimeyerkforcom",0,0,0,0,0,0,0,0,0,1
"alindseyblackchroniclecom",0,0,0,0,0,0,0,0,0,3
"aliplumgmailcom",0,0,0,2,0,0,0,0,0,2
"alisa",4,0,0,0,0,0,0,0,0,0
"alive",0,0,0,6,0,0,1,0,0,0
"alj",0,0,0,41,0,0,0,0,0,0
"all",229,18,175,693,12,16,23,5,147,23
"alleged",0,0,2,4,0,0,0,0,0,0
"allegedly",0,0,0,0,0,0,0,0,5,0
"alleges",0,0,0,10,0,0,0,0,0,0
"alleging",0,0,6,0,0,0,0,0,0,0
"allen",39,0,29,59,8,0,8,0,18,16
"allenbrooksdojnhgov",0,0,0,6,0,0,0,0,0,0
"allencordellpdcom",0,0,0,0,0,0,0,0,0,1
"allenmailtoallenwrightdvncom",1,0,0,0,0,0,0,0,0,0
"allennewsaolcom",0,0,0,0,0,0,0,0,0,3
"allenoksenategov",0,0,0,0,0,1,0,0,1,0
"allenpostenhcahealthcarecom",0,0,0,0,0,0,0,0,1,0
"allenwrightdvncom",8,0,4,10,1,0,2,0,16,3
"allenwrightdvncommailtoallenwrightdvncom",2,0,0,0,0,0,0,0,0,0
"alleviate",0,0,0,4,0,0,0,0,0,0
"alliance",0,0,0,9,0,1,0,0,1,2
"allied",4,0,0,0,0,0,0,0,0,0
"allies",1,0,1,7,0,0,0,0,0,0
"allinclusive",0,0,0,3,0,0,0,0,0,0
"allison",0,0,38,0,0,0,2,0,0,1
"allisondowntownokccom",0,0,0,0,0,0,0,0,1,0
"allisonmartinagkygov",0,0,0,24,0,0,0,0,0,0
"allisonmballgmailcom",0,0,0,0,0,0,0,0,0,1
"allocated",0,0,0,0,0,0,0,0,0,1
"allotted",0,0,0,0,0,0,0,0,0,1
"allow",9,0,15,39,0,0,0,0,6,2
"allowed",11,0,0,14,0,1,0,0,3,0
"allowing",1,0,0,23,0,0,0,2,7,0
"allows",7,0,0,20,0,0,0,5,16,0
"alltime",0,0,0,0,0,3,0,0,20,1
"allysia",0,0,0,3,0,0,0,0,0,0
"allysoncarsonoagokgov",0,0,0,2,0,0,0,0,0,2
"almon",0,0,0,0,0,0,0,0,0,3
"almost",4,1,14,8,0,0,4,0,1,1
"alone",0,0,0,10,0,0,0,0,3,0
"alonewith",0,0,0,5,0,0,0,0,0,0
"along",11,0,3,52,0,5,0,0,21,1
"alpha",0,0,0,0,0,0,0,0,1,0
"already",12,1,18,52,1,0,0,1,20,1
"also",94,0,243,288,2,1,19,48,90,15
"alta",0,0,0,4,0,0,0,0,0,0
"altalink",0,0,0,0,0,2,0,0,0,0
"alter",0,0,0,0,0,0,2,0,0,0
"alternate",0,0,0,0,0,0,0,0,3,2
"alternative",2,0,0,7,0,0,1,0,5,1
"alters",0,0,0,2,0,0,0,0,0,0
"although",4,0,0,10,0,0,2,0,4,0
"altogether",8,0,0,0,0,1,0,0,1,0
"alton",0,0,0,0,0,0,0,0,0,3
"altrock",0,0,0,0,0,0,0,0,5,0
"altshuler",5,0,1,1,0,0,0,0,5,3
"altus",0,0,0,0,0,0,0,0,0,34
"alum",4,0,0,0,0,0,0,0,0,2
"alumlokcorg",0,0,0,2,0,0,0,0,0,3
"alums",0,0,0,0,0,0,0,0,0,2
"alva",0,0,0,0,0,0,0,0,0,5
"always",3,0,28,2,0,0,0,0,2,0
"alyson",0,0,0,0,0,0,0,0,0,1
"alysonatchisonartsokgov",0,0,0,0,0,0,0,0,0,1
"alysonmosesartsokgov",0,0,0,0,0,0,0,0,0,1
"amacbethsidleycom",0,0,32,0,0,0,0,0,0,0
"amaha",0,0,0,0,0,0,0,0,0,1
"amam",0,0,0,4,0,0,0,0,0,0
"amanda",5,0,32,3,18,0,2,0,34,4
"amandabermanusdojgov",0,0,53,0,0,0,0,0,0,0
"amandakuhlmanlovescom",0,0,0,0,0,0,0,0,0,1
"amandampdgmailcom",0,0,0,0,0,0,0,0,0,1
"amandaperkinsusdojgov",0,0,0,0,0,0,0,0,0,1
"amare",0,0,0,1,0,0,0,0,0,0
"amazed",4,0,0,0,0,0,0,0,0,0
"amazing",1,0,0,0,0,0,0,0,0,0
"amber",0,0,0,0,0,0,0,0,0,4
"amberhhammonslawcom",0,0,0,0,0,0,1,0,0,0
"amberpolicechiefyahoocom",0,0,0,0,0,0,0,0,0,1
