"","Produce-1600-2541-Redacted.txt","Produce-2000.txt","Produce-3000.txt","Produce-4000.txt","Produce-5000.txt","Produce-6000.txt","Produce-Box-1-Redacted.txt","Produce-Box-5-Redacted.txt","Produce-Box-5.txt","Produce-Box-6.txt"
"aackermanleadershipoklahomacom",0,0,0,2,0,0,0,0,0,2
"aaglimtiacoyahoocom",2,0,28,0,0,0,1,0,0,0
"aandersonalecorg",40,0,0,0,0,0,0,0,0,0
"aandersonalecorgmailtoaandersonalecorg",1,0,0,0,0,0,0,0,0,0
"aaron",6,0,11,231,17,17,0,0,61,18
"aaroncoopergovokgov",0,0,0,0,0,0,0,0,0,1
"aaroncooperoagokgov",0,0,13,569,0,40,0,21,158,9
"aaroncooperokcgmailcom",0,0,0,0,0,0,0,0,1,0
"aaronmgcotcnet",6,0,0,0,0,0,0,0,0,5
"aaronpogueconsortiumokccom",0,0,0,0,0,0,0,0,1,0
"aaronworkwithiwscom",0,0,0,0,0,2,0,0,0,0
"aarp",0,0,0,0,0,0,0,0,0,1
"aarporg",0,0,0,0,0,0,0,0,0,1
"aav",0,0,0,10,0,0,0,0,0,0
"abamzaikirklandcom",0,0,6,6,0,0,0,0,0,0
"abandoned",1,0,0,0,0,0,0,0,0,0
"abandons",0,0,0,0,0,0,0,0,5,0
"abbott",0,0,0,10,0,0,0,0,0,5
"abdeljawad",0,0,0,0,0,0,0,0,0,1
"abdullah",4,0,0,0,0,0,0,0,0,0
"abeatydpsstateokus",0,0,0,0,0,0,0,0,0,3
"abel",0,0,0,0,0,0,0,0,0,1
"abernathy",0,0,0,0,0,0,0,0,0,1
"abilene",30,0,0,0,0,0,0,0,5,0
"ability",1,0,2,10,0,0,0,0,6,2
"able",30,0,4,32,4,1,1,10,52,10
"ablebodied",0,0,0,2,0,0,0,0,0,0
"abney",0,0,2,0,0,0,0,0,0,0
"abolishment",0,0,0,0,0,1,0,0,1,0
"abolitionist",0,0,0,0,0,0,0,0,1,0
"abortifacient",0,0,0,6,0,0,0,0,0,0
"abortifacients",4,0,0,0,0,0,0,0,0,0
"abortion",0,0,0,6,0,0,0,0,0,0
"abortioninducing",0,0,0,6,0,0,0,0,0,0
"abounds",0,0,0,0,0,0,0,0,10,0
"about",181,6,186,340,1,4,12,18,99,17
"above",39,0,19,201,1,1,4,9,12,0
"abovementioned",0,0,0,0,0,2,0,0,0,0
"abovereferenced",0,0,0,19,0,2,0,0,0,1
"abraham",5,0,0,0,0,0,0,0,4,0
"abrams",19,0,281,0,0,0,10,0,0,0
"abreast",0,0,7,0,0,0,0,0,0,0
"abridged",0,0,0,6,0,0,0,0,0,0
"absence",0,0,0,4,0,0,0,0,5,0
"absent",0,0,0,6,0,0,0,0,0,0
"absentee",0,0,0,0,0,0,0,0,0,7
"absher",0,0,0,0,0,0,0,0,0,1
"absolutely",6,0,0,9,0,0,0,0,5,0
"abstract",0,0,0,3,0,0,0,0,0,0
"abundantly",5,0,0,0,0,0,0,0,0,0
"abuse",5,0,0,16,0,0,0,0,4,1
"abused",0,0,0,0,0,0,0,0,1,0
"abysmal",0,0,0,0,0,0,0,5,10,0
"aca",0,0,0,0,0,2,0,4,36,0
"acaddellosrheedu",0,0,0,0,0,2,0,0,0,0
"academia",1,0,0,0,0,0,0,0,0,0
"academic",0,0,0,0,0,0,0,11,13,0
"academically",0,0,0,0,0,0,0,0,5,0
"academies",0,0,0,6,0,0,0,0,0,0
"academy",5,0,0,8,0,1,11,4,4,0
"academypdf",0,0,0,0,0,0,8,0,0,0
"acaessentially",0,0,0,0,0,0,0,0,2,0
"acaie",0,0,0,0,0,0,0,0,3,0
"accept",4,0,0,4,0,1,0,0,18,1
"acceptable",0,0,0,17,0,0,0,0,3,0
"accepted",11,0,0,0,0,0,0,0,1,2
"accepting",12,0,0,6,0,0,0,0,0,0
"access",3,0,4,42,0,2,0,1,9,10
"accessible",0,0,0,0,0,0,0,1,1,0
"accommodate",1,0,0,0,0,0,0,0,0,0
"accomplish",0,0,0,0,0,0,0,0,0,1
"accomplished",1,0,0,0,0,0,0,0,0,0
"accordance",0,0,1,6,0,0,0,0,1,2
"according",6,0,0,53,0,6,0,0,6,1
"accordingly",1,0,0,8,0,0,0,0,0,0
"account",0,0,0,4,0,0,0,5,19,0
"accountant",0,0,0,0,0,0,0,0,5,0
"accountants",0,0,2,3,0,0,0,0,0,0
"accounting",0,0,0,5,0,0,0,0,1,0
"accounts",0,0,1,12,0,0,0,5,28,0
"acct",0,0,0,2,0,0,0,0,0,0
"accumulate",0,0,1,1,0,0,0,0,0,0
"accumulation",0,0,0,0,0,0,0,0,1,0
"accumulations",0,0,0,0,0,0,0,0,1,0
"accuracy",0,0,0,0,0,0,0,0,5,0
"accurate",1,0,14,2,0,0,0,0,0,0
"accurately",0,0,1,3,0,0,0,0,0,0
"achenowethcityoftuisaorg",0,0,0,0,0,0,0,0,0,1
"achenowethcityoftulsaorg",0,0,0,0,0,0,0,0,0,1
"achieve",4,0,6,0,0,0,0,4,10,0
"achievement",4,0,0,22,0,0,0,5,5,0
"achieving",0,0,1,11,0,0,0,0,0,0
"achille",0,0,0,0,0,0,0,0,0,1
"achoatebixbycom",0,0,0,0,0,0,0,0,0,4
"acknowledge",0,0,0,0,0,0,1,0,0,0
"acknowledges",0,0,0,6,0,0,0,0,0,0
"acknowledgment",3,0,0,0,0,0,0,0,0,0
"aclayborneosmregov",0,0,3,6,0,0,0,0,0,0
"acquaintance",0,0,0,6,0,0,0,0,0,0
"acres",1,0,1,3,0,0,0,0,0,2
"across",18,0,2,91,0,1,1,0,20,0
"act",31,0,117,102,0,0,5,2,32,5
"actarguing",0,0,1,1,0,0,0,0,0,0
"acting",2,0,9,0,0,0,4,0,0,3
"action",23,0,23,24,0,0,2,1,46,2
"active",8,0,105,0,0,0,5,0,37,1
"activism",0,0,1,1,0,0,0,0,24,0
"activist",0,0,2,10,0,0,0,0,0,0
"activistinresidence",0,0,0,0,0,0,0,0,4,0
"activists",0,0,0,11,0,0,0,6,6,0
"activities",10,0,1,9,0,0,0,0,0,2
"activity",5,0,0,0,0,0,0,0,0,3
"acts",5,0,0,5,0,0,0,0,0,0
"actual",0,0,0,17,0,0,0,0,0,0
"actually",8,0,3,26,3,5,4,0,8,0
"ada",0,0,0,0,0,0,0,0,0,15
"adair",0,0,0,0,0,0,0,0,0,12
"adaircourtyahoocom",0,0,0,0,0,0,0,0,0,3
"adam",6,0,3,24,0,0,0,0,0,12
"adamantly",0,0,0,0,0,0,0,0,0,1
"adambartlesvilleradiocom",0,0,0,0,0,0,0,0,0,1
"adamboydengrayassociatescom",0,0,2,6,0,0,0,0,0,0
"adamcdoverspikegmailcom",0,0,0,0,0,0,0,0,1,0
"adamekrothhqdhsgov",0,0,0,0,0,0,0,0,0,3
"adams",1,0,14,4,0,0,0,0,0,5
"adamselfusafmil",0,0,0,0,0,0,0,0,0,2
"adamsherrqwestcom",0,0,0,0,0,0,0,0,0,2
"adanewseditorcableonenet",0,0,0,0,0,0,0,0,0,1
"adcock",0,0,0,0,0,0,0,0,0,1
"add",6,0,73,28,0,1,0,0,0,0
"added",1,0,1,17,0,0,0,0,4,1
"addicted",0,0,0,0,0,0,0,5,5,0
"addiction",0,0,0,6,0,0,0,0,5,0
"adding",0,0,0,5,2,0,0,0,0,0
"addition",4,1,14,22,0,0,2,8,22,1
"additional",7,0,2,49,0,0,2,0,11,4
"additionally",1,0,0,0,0,0,0,0,0,0
"additions",0,0,0,13,0,0,0,0,5,0
"address",240,25,27,578,1,6,1,67,345,3
"addressed",3,0,189,117,6,1,4,0,22,0
"addressee",0,0,2,13,0,1,0,1,2,3
"addressees",0,0,2,0,0,0,0,0,0,0
"addresses",5,0,16,0,0,0,0,0,1,0
"addressing",2,0,1,0,0,5,0,0,0,0
"adds",0,0,0,0,0,0,1,5,5,0
"adequate",0,0,0,0,0,0,0,0,2,0
"adequately",0,0,0,0,0,0,0,0,0,1
"adhere",0,0,0,3,0,0,0,0,0,0
"aditya",0,0,1,6,0,0,0,0,0,0
"adjourn",0,0,0,0,0,0,0,0,0,2
"adjunct",0,0,0,0,0,0,0,3,5,0
"adjust",0,0,0,10,0,0,0,0,0,0
"adjusted",1,0,0,6,0,0,0,0,0,0
"adjustments",0,0,0,3,0,0,0,0,1,0
"adkins",5,0,0,0,0,0,0,0,4,2
"adlai",0,0,0,0,0,0,1,0,0,0
"admin",0,0,2,3,0,0,0,0,0,0
"administer",0,0,1,1,0,0,0,0,0,0
"administered",0,0,0,8,0,0,0,0,0,0
"administering",0,0,0,6,0,0,0,0,0,0
"administrafiongreercountysherifforg",0,0,0,0,0,0,0,0,0,2
"administration",23,10,5,130,0,0,2,0,20,8
"administrationgreercountysherifforg",0,0,0,0,0,0,0,0,0,1
"administrationoffice",0,0,0,0,0,0,0,0,0,3
"administrationoklahoma",0,0,0,0,0,0,0,0,0,3
"administrations",2,0,0,0,0,0,0,0,15,0
"administrative",5,0,15,79,1,4,0,0,3,11
"administratively",0,0,0,6,0,0,0,0,0,0
"administrator",2,0,0,0,0,0,5,0,0,7
"administratorreserve",0,0,0,0,0,0,0,0,0,1
"administrators",18,0,0,3,0,0,0,0,0,1
"admintechnical",0,0,0,0,0,0,0,0,0,3
"admiration",4,0,0,0,0,0,0,0,0,0
"admire",0,0,0,0,0,0,0,0,5,0
"admired",0,0,0,0,0,0,0,0,6,0
"admission",0,0,0,14,0,0,0,0,0,0
"admitted",0,0,0,6,0,0,0,0,0,0
"adocx",0,0,0,1,0,0,0,0,0,0
"adomaininvalid",0,0,0,2,0,0,0,0,0,0
"adominincogorg",0,0,0,0,0,0,0,0,0,1
"adopt",7,0,1,7,0,0,0,0,5,0
"adopted",0,0,1,12,0,0,0,8,8,0
"adopting",0,0,0,12,0,0,0,0,10,0
"adoption",0,0,6,3,0,0,0,8,12,0
"adoptionfriendly",0,0,0,9,0,0,0,0,0,0
"adouglasoknaacporg",0,0,0,0,0,0,0,0,0,2
"adrahtas",0,0,0,0,0,0,0,0,0,1
"adriachappelouhscedu",0,0,0,0,0,0,0,0,0,1
"adrian",5,0,0,0,0,0,0,0,4,1
"adsoalyahoocom",0,0,0,0,0,0,0,0,0,1
"adstorckenvironmentokgov",0,0,2,2,0,0,2,0,0,1
"adstorckowrbokgov",0,0,0,0,0,0,0,0,0,1
"adult",0,0,0,6,0,0,0,0,0,0
"adults",0,0,0,0,0,0,0,0,0,1
"advance",5,0,1,9,0,5,5,5,25,5
"advanced",0,0,0,4,0,0,0,2,3,1
"advanceptsinet",0,0,0,0,0,0,0,0,0,3
"advances",0,0,0,6,0,0,0,0,0,0
"advancing",8,0,0,22,0,0,0,0,7,0
"advantage",0,0,0,9,0,0,0,0,1,0
"advantages",0,0,2,4,0,0,0,0,0,0
"adversarial",4,0,1,1,0,0,0,0,0,0
"adverse",0,0,2,10,0,0,0,0,0,1
"adversely",0,0,0,0,0,0,0,0,0,3
"advertising",0,0,3,0,0,0,0,0,0,0
"advice",10,0,281,93,5,1,1,0,21,0
"advices",0,0,2,3,0,0,0,0,0,0
"advise",0,0,2,30,0,0,0,0,0,0
"advised",1,0,2,60,0,0,1,0,0,0
"adviser",0,0,0,0,0,0,0,0,32,0
"advisers",0,0,0,0,0,0,0,3,5,0
"advises",0,0,9,0,0,0,0,0,0,0
"advisor",1,0,11,3,0,0,0,0,0,6
"advisors",1,0,0,0,0,0,0,0,0,0
"advisory",4,0,0,0,0,0,0,0,4,8
"advocacy",0,0,4,26,0,0,0,0,32,0
"advocate",0,0,0,9,0,0,0,0,5,3
"advocates",5,0,4,20,0,0,0,0,27,0
"advocating",0,0,0,0,0,0,0,0,5,0
"adwaldripandrewsdaviscom",0,0,0,0,0,0,0,0,0,2
"aeb",0,0,0,0,0,0,0,0,0,1
"aedaviskpmgcom",0,0,0,2,0,0,0,0,0,2
"aenglandstandorg",0,0,0,0,0,0,0,0,0,1
"aep",64,0,1,197,0,59,0,0,47,0
"aepenergycom",0,0,0,3,0,0,0,0,0,0
"aepgr",0,0,0,0,0,1,0,0,0,0
"aeppdf",0,0,0,2,0,0,0,0,0,0
"aeps",0,0,0,4,0,0,0,0,2,0
"aerial",0,0,0,22,0,0,0,0,0,0
"aeso",0,0,0,0,0,2,0,0,0,0
"aesthetic",0,0,2,6,0,0,0,0,0,0
"aetgentuisaheaithorg",0,0,0,0,0,0,0,0,0,1
"aetna",0,0,0,0,0,0,0,0,5,0
"aewingocpgmailcom",0,0,0,2,0,0,0,0,0,2
"afb",0,0,0,0,0,0,0,0,0,35
"afbafosi",0,0,0,0,0,0,0,0,0,6
"afbdabadokhousegov",0,0,0,1,0,0,0,0,0,0
"afbflorida",0,0,0,0,0,0,0,0,0,2
"afbnd",0,0,0,0,0,0,0,0,0,6
"afboffice",0,0,0,0,0,0,0,0,0,17
"afbth",0,0,0,0,0,0,0,0,0,2
"afeoffice",0,0,0,0,0,0,0,0,0,1
"afermath",1,0,0,0,0,0,0,0,0,0
"affairs",522,55,20,1331,3,26,13,134,647,21
"affairsanadarko",0,0,0,0,0,0,0,0,0,6
"affairsmiami",0,0,0,0,0,0,0,0,0,7
"affairspublic",0,0,0,0,0,0,0,0,0,4
"affect",1,0,3,8,0,2,0,0,0,2
"affected",0,0,2,2,0,0,0,0,1,1
"affects",0,0,12,0,0,0,0,0,0,0
"affidavit",0,0,0,9,0,1,0,0,0,0
"affiliate",1,0,0,25,0,0,0,0,0,0
"affiliation",0,0,0,0,0,0,0,0,4,0
"affirmations",1,0,14,0,0,0,0,0,0,0
"affirmative",0,0,1,0,0,0,0,0,0,0
"affirms",0,0,0,2,0,0,0,0,0,0
"affixed",0,0,0,0,0,0,0,0,1,0
"affluent",0,0,0,0,0,0,0,0,0,1
"afford",4,0,0,5,0,0,0,0,9,1
"affordable",4,0,0,37,0,0,0,2,25,3
"aforementioned",0,0,0,3,0,0,0,0,0,0
"afp",11,0,2,101,0,0,0,0,0,0
"afpafpfok",0,0,0,2,0,0,0,0,0,0
"afpf",0,0,0,8,0,0,0,0,0,0
"afpfok",0,0,0,0,0,0,0,0,1,0
"afpm",0,0,0,47,0,0,0,0,1,0
"afpmac",2,0,0,14,0,0,0,0,0,0
"afpmorg",0,0,0,31,0,0,0,0,1,0
"afpms",0,0,0,2,0,0,0,0,0,0
"afpok",0,0,6,24,0,0,0,0,1,0
"afraid",0,0,0,0,0,0,0,0,5,0
"afrmic",0,0,0,0,0,0,0,0,0,2
"afrmiccom",0,0,0,0,0,0,0,0,0,1
"afsgojunocom",0,0,0,0,0,2,0,0,0,0
"after",67,0,29,97,3,10,0,1,79,13
"aftermath",7,0,0,0,0,3,0,0,0,0
"afternoon",32,0,26,58,2,0,8,0,4,4
"afterschool",0,0,0,12,0,0,0,0,0,0
"afterward",0,0,0,1,0,0,0,0,0,0
"afugateopubcocom",0,0,0,0,0,0,0,0,0,2
"afulmerbethanypdorg",0,0,0,0,0,0,0,0,0,1
"again",41,0,48,117,4,2,3,15,34,3
"againesregionalfoodbankorg",0,0,0,0,0,0,0,0,1,0
"agains",0,0,0,36,0,0,0,0,0,0
"against",25,0,3,217,0,5,1,6,24,3
"agbdmaolcom",2,0,28,0,0,0,1,0,0,0
"age",0,0,25,24,0,0,0,0,0,1
"aged",0,0,0,0,0,0,0,0,0,1
"agees",0,0,0,4,0,0,0,0,0,0
"agencies",1,0,2,28,0,0,0,8,62,3
"agency",51,0,23,31,0,0,0,0,15,5
"agencys",7,0,0,0,0,0,0,0,0,0
"agenda",55,0,4,113,0,0,8,0,71,14
"agendadocx",4,0,0,1,0,0,0,0,4,0
"agendas",0,0,0,2,0,0,0,0,0,0
"agent",0,0,0,5,0,0,0,0,0,191
"agentafosi",0,0,0,0,0,0,0,0,0,2
"agentcertified",0,0,0,0,0,0,0,0,0,3
"agentincharge",0,0,0,0,0,0,0,0,0,6
"agentprimary",0,0,0,0,0,0,0,0,0,1
"ageold",4,0,0,0,0,0,0,0,0,0
"agep",0,0,0,0,0,0,0,0,48,0
"ages",0,0,0,6,0,0,0,0,5,0
"agesmithagstatescus",0,0,82,0,0,0,0,0,0,0
"aggressive",0,0,0,2,0,0,0,0,5,0
"agibbscityofguthriecom",0,0,0,0,0,0,0,0,0,1
"agisivhotmailcom",0,0,0,0,0,2,0,0,0,0
"agisselquistbostonpacificcom",0,0,0,18,0,0,0,0,0,0
"agjoecomcastnet",2,0,28,0,0,0,1,0,0,0
"agmt",0,0,0,1,0,0,0,0,0,0
"agnello",0,0,0,0,0,0,0,0,0,12
"agnestyahoocom",0,0,0,0,0,0,0,0,0,2
"ago",16,0,10,58,0,1,0,0,18,0
"agoconsumernebraskagov",0,0,0,6,0,0,0,0,0,0
"agokgov",0,0,0,0,0,0,0,0,0,1
"agpdf",0,0,0,2,0,0,0,0,0,0
"agphotojpg",0,0,0,2,0,1,0,0,0,0
"agra",0,0,0,0,0,0,0,0,0,1
"agrahamcityoftuttlecom",0,0,0,0,0,0,0,0,0,3
"agrahamobnstateokus",0,0,0,0,0,0,0,0,0,3
"agraygrdacom",0,0,0,0,0,0,0,0,0,1
"agree",2,0,38,43,1,0,1,0,6,0
"agreeable",7,0,0,0,0,0,0,0,0,0
"agreed",0,0,5,31,0,5,0,0,9,0
"agreeing",1,0,0,0,0,0,0,0,0,0
"agreement",3,0,13,52,0,0,1,0,1,0
"agreementdocx",0,0,0,1,0,0,0,0,0,0
"agreements",1,0,0,23,0,0,0,0,1,0
"agrees",4,0,0,20,0,0,2,0,0,0
"agribusiness",0,0,1,0,0,0,0,0,0,0
"agricluture",0,0,0,4,0,0,0,0,0,0
"agricultural",0,0,0,10,0,0,0,10,36,0
"agriculture",0,0,0,88,0,0,0,3,15,36
"agruder",0,0,0,4,0,0,0,0,0,0
"ags",21,0,173,148,1,1,9,0,87,0
"agset",0,0,0,1,0,0,0,0,0,0
"ague",0,0,0,0,0,0,0,0,0,2
"ahamiltonokobservernet",0,0,0,0,0,0,0,0,0,3
"ahead",24,0,0,0,0,0,0,0,0,3
"ahoneymanwoodscountynet",0,0,0,0,0,0,0,0,0,1
"ahrend",0,0,0,0,0,0,0,0,0,1
"aibro",0,0,0,0,0,0,0,0,0,2
"aiccm",12,0,0,0,0,0,0,0,0,0
"aicher",0,0,0,0,0,0,0,0,0,1
"aid",0,0,0,2,0,0,0,0,0,4
"aide",0,0,0,0,0,0,0,8,8,2
"aides",0,0,0,0,10,0,0,0,7,0
"ailtohlgroundaepcom",0,0,0,1,0,0,0,0,0,0
"aim",4,0,0,0,0,0,0,0,0,0
"aimed",4,0,0,8,0,0,0,5,5,0
"aimee",0,0,0,0,0,0,0,0,0,12
"aimeeahpeatonegmailcom",0,0,0,2,0,0,0,0,0,2
"aimeeharlowfisglobalcom",0,0,0,0,0,0,0,0,0,5
"aimeeharlowflsglobalcom",0,0,0,0,0,0,0,0,0,1
"aiming",0,0,0,4,0,0,0,0,0,0
"aint",28,0,0,0,0,0,0,0,0,0
"aiohnsonokccanet",0,0,0,0,0,0,0,0,0,1
"air",18,0,36,41,0,3,0,0,18,9
"airline",0,0,0,2,0,0,0,0,0,0
"airlines",0,0,0,4,0,0,0,0,0,0
"airport",1,0,0,0,0,1,0,9,9,22
"airs",0,0,0,2,0,0,0,0,0,0
"ajernncdojgov",0,0,82,0,0,0,0,0,0,0
"ajferatedvncom",0,0,0,0,17,0,0,0,28,0
"ajohnsoncityofyukonokgov",0,0,0,0,0,0,0,0,0,2
"ajohnsonokccanet",0,0,0,2,0,0,0,0,0,1
