Word Strng,Produce-1600-2541-Redacted.txt,Produce-2000.txt,Produce-3000.txt,Produce-4000.txt,Produce-5000.txt,Produce-6000.txt,Produce-Box-1-Redacted.txt,Produce-Box-5-Redacted.txt,Produce-Box-5.txt,Produce-Box-6.txt,Total
aackermanleadershipoklahomacom,0,0,0,2,0,0,0,0,0,2,4
aaglimtiacoyahoocom,2,0,28,0,0,0,1,0,0,0,31
aandersonalecorg,40,0,0,0,0,0,2,0,0,0,42
aandersonalecorgmailtoaandersonalecorg,1,0,0,0,0,0,0,0,0,0,1
aaron,6,0,11,231,41,17,4,0,61,17,388
aaroncoopergovokgov,0,0,0,0,0,0,0,0,0,1,1
aaroncooperoagokgov,0,0,13,569,0,38,0,17,158,9,804
aaroncooperokcgmailcom,0,0,0,0,0,0,0,0,1,0,1
aarongxangocom,0,1,0,0,0,0,0,0,0,0,1
aaronmgcotcnet,6,0,0,0,0,0,0,0,0,5,11
aaronpogueconsortiumokccom,0,0,0,0,0,0,0,0,1,0,1
aaronworkwithiwscom,0,0,0,0,0,2,0,0,0,0,2
aarp,0,0,0,0,0,0,0,0,0,1,1
aarporg,0,0,0,0,0,0,0,0,0,1,1
aav,0,0,0,10,0,0,0,0,0,0,10
abamzaikirklandcom,0,1,6,6,0,0,0,0,0,0,13
abandon,0,0,0,0,0,0,4,0,0,0,4
abandoned,1,0,0,0,0,0,4,0,0,0,5
abandons,0,0,0,0,0,0,0,0,5,0,5
abassbuchaltercom,0,2,0,0,0,0,0,0,0,0,2
abbott,0,0,0,10,0,0,4,0,0,4,18
abdeljawad,0,0,0,0,0,0,0,0,0,1,1
abdullah,4,0,0,0,0,0,0,0,0,0,4
abeatydpsstateokus,0,0,0,0,0,0,0,0,0,3,3
abel,0,0,0,0,0,0,0,0,0,1,1
abernathy,0,0,0,0,0,0,0,0,0,1,1
abilene,30,0,0,0,0,0,0,0,5,0,35
abilities,0,0,0,0,0,0,4,0,0,0,4
ability,1,0,2,10,0,0,0,0,6,2,21
able,30,12,4,32,4,1,10,10,52,6,161
ablebodied,0,0,0,2,0,0,4,0,0,0,6
abney,0,0,2,0,0,0,0,0,0,0,2
abolishment,0,0,0,0,0,1,0,0,1,0,2
abolitionist,0,0,0,0,0,0,0,0,1,0,1
abortifacient,0,0,0,6,0,0,0,0,0,0,6
abortifacients,4,0,0,0,0,0,0,0,0,0,4
abortion,0,0,0,6,0,0,0,0,0,0,6
abortioninducing,0,0,0,6,0,0,0,0,0,0,6
abounds,0,0,0,0,0,0,0,0,10,0,10
about,181,84,186,340,4,4,25,18,99,17,958
above,39,53,19,201,4,0,6,7,12,0,341
abovementioned,0,0,0,0,0,2,0,0,0,0,2
abovereferenced,0,0,0,19,0,2,0,0,0,1,22
abraham,5,0,0,0,1,0,7,0,4,0,17
abrams,19,0,281,0,0,0,10,0,0,0,310
abreast,0,0,7,0,0,0,0,0,0,0,7
abridged,0,0,0,6,0,0,0,0,0,0,6
absence,0,0,0,4,0,0,0,0,5,0,9
absent,0,0,0,6,0,0,0,0,0,0,6
absentee,0,0,0,0,0,0,0,0,0,7,7
absher,0,0,0,0,0,0,0,0,0,1,1
absolutely,6,0,0,9,0,0,0,0,5,0,20
abstract,0,0,0,3,0,0,0,0,0,0,3
abundantly,5,0,0,0,0,0,0,0,0,0,5
abuse,5,6,0,16,0,0,0,0,4,1,32
abused,0,0,0,0,0,0,0,0,1,0,1
abysmal,0,0,0,0,0,0,0,5,10,0,15
aca,0,0,0,0,0,2,0,4,36,0,42
acaddellosrheedu,0,0,0,0,0,2,0,0,0,0,2
academia,1,0,0,0,0,0,0,0,0,0,1
academic,0,0,0,0,0,0,0,8,13,0,21
academically,0,0,0,0,0,0,0,0,5,0,5
academies,0,0,0,6,0,0,0,0,0,0,6
academy,5,0,0,8,0,1,11,4,4,0,33
academypdf,0,0,0,0,0,0,8,0,0,0,8
acaessentially,0,0,0,0,0,0,0,0,2,0,2
acaie,0,0,0,0,0,0,0,0,3,0,3
acarrollprecisioncorpsvcscom,0,1,0,0,0,0,0,0,0,0,1
accept,4,0,0,4,0,1,0,0,18,1,28
acceptable,0,0,0,17,0,0,0,0,3,0,20
accepted,11,0,0,0,1,0,0,0,1,2,15
accepting,12,0,0,6,0,0,0,0,0,0,18
access,3,2,4,42,14,2,0,1,9,10,87
accessible,0,0,0,0,0,0,0,1,1,0,2
accommodate,1,0,0,0,0,0,1,0,0,0,2
accomplish,0,0,0,0,0,0,4,0,0,1,5
accomplished,1,0,0,0,0,0,0,0,0,0,1
accomplishments,0,0,0,0,2,0,1,0,0,0,3
accordance,0,0,1,6,0,0,0,0,1,2,10
according,6,0,0,53,0,1,4,0,6,1,71
accordingly,1,0,0,8,0,0,0,0,0,0,9
account,0,0,0,4,0,0,0,5,19,0,28
accountable,0,0,0,0,0,0,4,0,0,0,4
accountant,0,0,0,0,0,0,0,0,5,0,5
accountants,0,0,2,3,0,0,0,0,0,0,5
accounting,0,0,0,5,0,0,0,0,1,0,6
accounts,0,0,1,12,0,0,0,0,28,0,41
acct,0,0,0,2,0,0,0,0,0,0,2
accumulate,0,0,1,1,0,0,0,0,0,0,2
accumulation,0,0,0,0,0,0,0,0,1,0,1
accumulations,0,0,0,0,0,0,0,0,1,0,1
accuracy,0,0,0,0,0,0,0,0,5,0,5
accurate,1,0,14,2,0,0,0,0,0,0,17
accurately,0,0,1,3,0,0,0,0,0,0,4
acevedo,0,0,0,0,0,0,2,0,0,0,2
achenowethcityoftuisaorg,0,0,0,0,0,0,0,0,0,1,1
achenowethcityoftulsaorg,0,0,0,0,0,0,0,0,0,1,1
achieve,4,0,6,0,0,0,8,4,10,0,32
achieved,0,0,0,0,0,0,4,0,0,0,4
achievement,4,0,0,22,0,0,0,5,5,0,36
achieving,0,0,1,11,0,0,0,0,0,0,12
achille,0,0,0,0,0,0,0,0,0,1,1
achoatebixbycom,0,0,0,0,0,0,0,0,0,3,3
acknowledge,0,0,0,0,0,0,1,0,0,0,1
acknowledges,0,0,0,6,0,0,0,0,0,0,6
acknowledgment,3,0,0,0,0,0,0,0,0,0,3
aclayborneosmregov,0,0,3,6,0,0,0,0,0,0,9
acquaintance,0,0,0,6,0,0,0,0,0,0,6
acres,1,0,1,3,0,0,0,0,0,2,7
across,18,0,2,91,2,1,5,0,20,0,139
act,31,0,117,102,0,0,5,2,32,5,294
actarguing,0,0,1,1,0,0,0,0,0,0,2
acting,2,0,9,0,0,0,11,0,0,2,24
action,23,0,23,24,0,0,6,1,46,2,125
actions,0,3,0,0,2,0,4,0,0,0,9
active,8,0,105,0,0,0,9,0,37,1,160
activism,0,0,1,1,0,0,0,0,24,0,26
activist,0,0,2,10,0,0,0,0,0,0,12
activistinresidence,0,0,0,0,0,0,0,0,4,0,4
activists,0,0,0,11,0,0,0,6,6,0,23
activities,10,0,1,9,1,0,4,0,0,2,27
activity,5,0,0,0,0,0,0,0,0,3,8
acts,5,0,0,5,0,0,0,0,0,0,10
actual,0,0,0,17,4,0,0,0,0,0,21
actually,8,0,3,26,3,1,13,0,8,0,62
actuaries,0,0,0,0,0,0,4,0,0,0,4
ada,0,0,0,0,0,0,0,0,0,15,15
adair,0,0,0,0,0,0,0,0,0,9,9
adaircourtyahoocom,0,0,0,0,0,0,0,0,0,2,2
adam,6,0,3,24,0,0,0,0,0,11,44
adamantly,0,0,0,0,0,0,0,0,0,1,1
adambartlesvilleradiocom,0,0,0,0,0,0,0,0,0,1,1
adamboydengrayassociatescom,0,0,2,6,0,0,0,0,0,0,8
adamcdoverspikegmailcom,0,0,0,0,0,0,0,0,1,0,1
adamekrothhqdhsgov,0,0,0,0,0,0,0,0,0,2,2
adams,1,0,14,4,0,0,0,0,0,4,23
adamselfusafmil,0,0,0,0,0,0,0,0,0,2,2
adamsherrqwestcom,0,0,0,0,0,0,0,0,0,2,2
adanewseditorcableonenet,0,0,0,0,0,0,0,0,0,1,1
adcock,0,0,0,0,0,0,0,0,0,1,1
add,6,3,73,28,0,1,0,0,0,0,111
added,1,0,1,17,0,0,4,0,4,1,28
addicted,0,0,0,0,0,0,0,5,5,0,10
addiction,0,0,0,6,0,0,0,0,5,0,11
adding,0,0,0,5,4,0,0,0,0,0,9
addition,4,1,14,22,11,0,2,8,22,1,85
additional,7,3,2,49,0,0,2,0,11,4,78
additionally,1,0,0,0,0,0,0,0,0,0,1
additions,0,3,0,13,0,0,0,0,5,0,21
address,240,33,27,578,3,1,77,59,345,3,1366
addressed,3,0,189,117,13,1,4,0,22,0,349
addressee,0,0,2,13,0,1,0,1,2,3,22
addressees,0,0,2,0,0,0,0,0,0,0,2
addresses,5,0,16,0,0,0,0,0,1,0,22
addressing,2,0,1,0,0,1,0,0,0,0,4
adds,0,0,0,0,0,0,2,5,5,0,12
adequate,0,0,0,0,0,0,0,0,2,0,2
adequately,0,0,0,0,0,0,0,0,0,1,1
adhere,0,0,0,3,0,0,0,0,0,0,3
aditya,0,0,1,6,0,0,0,0,0,0,7
adjourn,0,0,0,0,0,0,0,0,0,2,2
adjunct,0,0,0,0,0,0,0,0,5,0,5
adjust,0,0,0,10,0,0,0,0,0,0,10
adjusted,1,0,0,6,0,0,0,0,0,0,7
adjustments,0,0,0,3,2,0,0,0,1,0,6
adkins,5,0,0,0,1,0,7,0,4,2,19
adlai,0,0,0,0,0,0,2,0,0,0,2
admin,0,0,2,3,0,0,0,0,0,0,5
administer,0,0,1,1,0,0,0,0,0,0,2
administered,0,0,0,8,0,0,0,0,0,0,8
administering,0,0,0,6,0,0,0,0,0,0,6
administrafiongreercountysherifforg,0,0,0,0,0,0,0,0,0,1,1
administration,23,13,5,130,0,0,4,0,20,6,201
administrationgreercountysherifforg,0,0,0,0,0,0,0,0,0,1,1
administrationoffice,0,0,0,0,0,0,0,0,0,2,2
administrationoklahoma,0,0,0,0,0,0,0,0,0,2,2
administrations,2,0,0,0,0,0,0,0,15,0,17
administrative,5,0,15,79,1,4,6,0,3,7,120
administratively,0,0,0,6,0,0,0,0,0,0,6
administrator,2,0,0,0,0,0,8,0,0,6,16
administratorreserve,0,0,0,0,0,0,0,0,0,1,1
administrators,18,0,0,3,0,0,0,0,0,1,22
admintechnical,0,0,0,0,0,0,0,0,0,3,3
admiration,4,0,0,0,0,0,0,0,0,0,4
admire,0,0,0,0,0,0,0,0,5,0,5
admired,0,0,0,0,0,0,0,0,6,0,6
admission,0,0,0,14,0,0,0,0,0,0,14
admit,0,0,0,0,1,0,0,0,0,0,1
admitted,0,0,0,6,0,0,0,0,0,0,6
adocx,0,0,0,1,0,0,0,0,0,0,1
adomaininvalid,0,0,0,2,0,0,0,0,0,0,2
adominincogorg,0,0,0,0,0,0,0,0,0,1,1
adopt,7,0,1,7,0,0,4,0,5,0,24
adopted,0,0,1,12,0,0,6,8,8,0,35
adopting,0,0,0,12,0,0,0,0,10,0,22
adoption,0,0,6,3,0,0,0,8,12,0,29
adoptionfriendly,0,0,0,9,0,0,0,0,0,0,9
adouglasoknaacporg,0,0,0,0,0,0,0,0,0,2,2
adrahtas,0,0,0,0,0,0,0,0,0,1,1
adriachappelouhscedu,0,0,0,0,0,0,0,0,0,1,1
adrian,5,0,0,0,1,0,9,0,4,1,20
adsoalyahoocom,0,0,0,0,0,0,0,0,0,1,1
adstorckenvironmentokgov,0,0,2,2,0,0,4,0,0,1,9
adstorckowrbokgov,0,0,0,0,0,0,0,0,0,1,1
adult,0,0,0,6,0,0,0,0,0,0,6
adults,0,0,0,0,0,0,0,0,0,1,1
advance,5,0,1,9,0,1,5,5,25,5,56
advanced,0,0,0,4,0,0,0,2,3,1,10
advanceptsinet,0,0,0,0,0,0,0,0,0,3,3
advances,0,0,0,6,0,0,0,0,0,0,6
advancing,8,0,0,22,0,0,0,0,7,0,37
advantage,0,0,0,9,0,0,0,0,1,0,10
advantages,0,0,2,4,0,0,0,0,0,0,6
adversarial,4,0,1,1,0,0,36,0,0,0,42
adversaries,0,0,0,0,0,0,4,0,0,0,4
adverse,0,0,2,10,0,0,0,0,0,1,13
adversely,0,0,0,0,0,0,0,0,0,3,3
advertising,0,0,3,0,0,0,0,0,0,0,3
advice,10,0,281,93,11,1,1,0,21,0,418
advices,0,0,2,3,0,0,0,0,0,0,5
advise,0,0,2,30,16,0,0,0,0,0,48
advised,1,0,2,60,0,0,1,0,0,0,64
adviser,0,0,0,0,0,0,0,0,32,0,32
advisers,0,0,0,0,0,0,0,0,5,0,5
advises,0,0,9,0,0,0,0,0,0,0,9
advisor,1,0,11,3,0,0,1,0,0,5,21
advisors,1,0,0,0,0,0,0,0,0,0,1
advisory,4,0,0,0,0,0,0,0,4,8,16
advocacy,0,0,4,26,0,0,0,0,32,0,62
advocate,0,0,0,9,0,0,0,0,5,3,17
advocates,5,0,4,20,0,0,0,0,27,0,56
advocating,0,0,0,0,0,0,0,0,5,0,5
adwaldripandrewsdaviscom,0,0,0,0,0,0,0,0,0,2,2
aeb,0,0,0,0,0,0,0,0,0,1,1
aedaviskpmgcom,0,0,0,2,0,0,0,0,0,2,4
aenglandstandorg,0,0,0,0,0,0,0,0,0,1,1
aep,64,0,1,197,30,59,0,0,47,0,398
aepenergycom,0,0,0,3,0,0,0,0,0,0,3
aepgr,0,0,0,0,0,1,0,0,0,0,1
aeppdf,0,0,0,2,0,0,0,0,0,0,2
aeps,0,0,0,4,0,0,0,0,2,0,6
aerial,0,0,0,22,0,0,0,0,0,0,22
aeso,0,0,0,0,0,2,0,0,0,0,2
aesthetic,0,0,2,6,0,0,0,0,0,0,8
aetgentuisaheaithorg,0,0,0,0,0,0,0,0,0,1,1
aetna,0,0,0,0,0,0,0,0,5,0,5
aewingocpgmailcom,0,0,0,2,0,0,0,0,0,2,4
afb,0,0,0,0,0,0,0,0,0,35,35
afbafosi,0,0,0,0,0,0,0,0,0,6,6
afbdabadokhousegov,0,0,0,1,0,0,0,0,0,0,1
afbflorida,0,0,0,0,0,0,0,0,0,2,2
afbnd,0,0,0,0,0,0,0,0,0,6,6
afboffice,0,0,0,0,0,0,0,0,0,17,17
afbth,0,0,0,0,0,0,0,0,0,2,2
afeoffice,0,0,0,0,0,0,0,0,0,1,1
afermath,1,0,0,0,0,0,0,0,0,0,1
affairs,522,78,20,1331,6,15,173,111,647,15,2918
affairsanadarko,0,0,0,0,0,0,0,0,0,4,4
affairsmiami,0,0,0,0,0,0,0,0,0,5,5
affairspublic,0,0,0,0,0,0,0,0,0,2,2
affect,1,0,3,8,0,2,4,0,0,2,20
affected,0,0,2,2,0,0,0,0,1,1,6
affects,0,0,12,0,0,0,8,0,0,0,20
affidavit,0,0,0,9,0,1,0,0,0,0,10
affiliate,1,0,0,25,1,0,0,0,0,0,27
affiliation,0,0,0,0,0,0,0,0,4,0,4
affirmations,1,0,14,0,0,0,0,0,0,0,15
affirmative,0,0,1,0,0,0,0,0,0,0,1
affirms,0,0,0,2,0,0,0,0,0,0,2
affixed,0,0,0,0,0,0,0,0,1,0,1
affluent,0,0,0,0,0,0,0,0,0,1,1
afford,4,0,0,5,0,0,0,0,9,1,19
affordable,4,0,0,37,0,0,0,2,25,3,71
aflemingtheesacom,0,2,0,0,0,0,0,0,0,0,2
aforementioned,0,0,0,3,0,0,0,0,0,0,3
afp,11,0,2,101,0,0,0,0,0,0,114
afpafpfok,0,0,0,2,0,0,0,0,0,0,2
afpf,0,0,0,8,0,0,0,0,0,0,8
afpfok,0,0,0,0,0,0,0,0,1,0,1
afpm,0,73,0,47,0,0,0,0,1,0,121
afpmac,2,0,0,14,0,0,0,0,0,0,16
afpmorg,0,72,0,31,0,0,0,0,1,0,104
afpms,0,0,0,2,0,0,0,0,0,0,2
afpok,0,0,6,24,0,0,0,0,1,0,31
afraid,0,0,0,0,0,0,0,0,5,0,5
afraidits,0,0,0,0,2,0,0,0,0,0,2
afrancoaolcom,0,2,0,0,0,0,0,0,0,0,2
african,0,0,0,0,0,0,4,0,0,0,4
afrmic,0,0,0,0,0,0,0,0,0,2,2
afrmiccom,0,0,0,0,0,0,0,0,0,1,1
afsgojunocom,0,0,0,0,0,2,0,0,0,0,2
afsoonmcclellanlexisnexiscom,0,2,0,0,0,0,0,0,0,0,2
after,67,25,29,97,8,5,11,1,79,13,335
aftermath,7,0,0,0,0,3,0,0,0,0,10
afternoon,32,15,26,58,4,0,10,0,4,4,153
afterschool,0,0,0,12,0,0,0,0,0,0,12
afterward,0,0,0,1,1,0,0,0,0,0,2
afterwards,0,0,0,0,0,0,4,0,0,0,4
afugateopubcocom,0,0,0,0,0,0,0,0,0,2,2
afulmerbethanypdorg,0,0,0,0,0,0,0,0,0,1,1
again,41,46,48,117,6,1,12,15,34,3,323
againesregionalfoodbankorg,0,0,0,0,0,0,0,0,1,0,1
agains,0,0,0,36,0,0,0,0,0,0,36
against,25,0,3,217,0,1,13,6,24,3,292
agbdmaolcom,2,2,28,0,0,0,1,0,0,0,33
age,0,0,25,24,0,0,0,0,0,1,50
aged,0,0,0,0,0,0,0,0,0,1,1
agees,0,0,0,4,0,0,0,0,0,0,4
agencies,1,0,2,28,0,0,0,8,62,3,104
agency,51,0,23,31,0,0,0,0,15,5,125
agencys,7,0,0,0,1,0,0,0,0,0,8
agenda,55,0,4,113,4,0,19,0,71,14,280
agendadocx,4,0,0,1,0,0,0,0,4,0,9
agendas,0,0,0,2,0,0,0,0,0,0,2
agent,0,0,0,5,0,0,0,0,0,140,145
agentafosi,0,0,0,0,0,0,0,0,0,2,2
agentcertified,0,0,0,0,0,0,0,0,0,2,2
agentincharge,0,0,0,0,0,0,0,0,0,4,4
agentprimary,0,0,0,0,0,0,0,0,0,1,1
ageold,4,0,0,0,0,0,0,0,0,0,4
agep,0,0,0,0,0,0,0,0,48,0,48
ages,0,0,0,6,0,0,0,0,5,0,11
agesmithagstatescus,0,0,82,0,0,0,0,0,0,0,82
aggressive,0,0,0,2,0,0,0,0,5,0,7
agibbscityofguthriecom,0,0,0,0,0,0,0,0,0,1,1
agisivhotmailcom,0,0,0,0,0,2,0,0,0,0,2
agisselquistbostonpacificcom,0,0,0,18,1,0,0,0,0,0,19
agjoecomcastnet,2,0,28,0,0,0,1,0,0,0,31
agmt,0,0,0,1,0,0,0,0,0,0,1
agnello,0,0,0,0,0,0,0,0,0,12,12
agnestyahoocom,0,0,0,0,0,0,0,0,0,2,2
ago,16,0,10,58,0,1,4,0,18,0,107
agoconsumernebraskagov,0,0,0,6,0,0,0,0,0,0,6
agpdf,0,0,0,2,0,0,0,0,0,0,2
agphotojpg,0,0,0,2,0,1,0,0,0,0,3
agra,0,0,0,0,0,0,0,0,0,1,1
agrahamcityoftuttlecom,0,0,0,0,0,0,0,0,0,2,2
agrahamobnstateokus,0,0,0,0,0,0,0,0,0,2,2
agraygrdacom,0,0,0,0,0,0,0,0,0,1,1
agree,2,0,38,43,1,0,1,0,6,0,91
agreeable,7,0,0,0,0,0,0,0,0,0,7
agreed,0,0,5,31,0,1,4,0,9,0,50
agreeing,1,0,0,0,0,0,0,0,0,0,1
agreement,3,0,13,52,1,0,1,0,1,0,71
agreementdocx,0,0,0,1,0,0,0,0,0,0,1
agreements,1,0,0,23,0,0,0,0,1,0,25
agrees,4,0,0,20,0,0,4,0,0,0,28
agribusiness,0,0,1,0,0,0,0,0,0,0,1
agricluture,0,0,0,4,0,0,0,0,0,0,4
agricultural,0,0,0,10,0,0,0,5,36,0,51
agriculture,0,0,0,88,0,0,0,0,15,24,127
agruder,0,0,0,4,0,0,0,0,0,0,4
ags,21,0,173,148,1,1,10,0,87,0,441
agset,0,0,0,1,0,0,0,0,0,0,1
ague,0,0,0,0,0,0,0,0,0,2,2
ahamiltonokobservernet,0,0,0,0,0,0,0,0,0,3,3
ahead,24,0,0,0,0,0,0,0,0,3,27
ahillzimmreedcom,0,2,0,0,0,0,0,0,0,0,2
ahoneymanwoodscountynet,0,0,0,0,0,0,0,0,0,1,1
ahrend,0,0,0,0,0,0,0,0,0,1,1
ahuffmtgov,0,2,0,0,0,0,0,0,0,0,2
aibro,0,0,0,0,0,0,0,0,0,2,2
aiccm,12,0,0,0,0,0,0,0,0,0,12
aicher,0,0,0,0,0,0,0,0,0,1,1
aid,0,0,0,2,0,0,0,0,0,4,6
aide,0,0,0,0,0,0,0,8,8,2,18
aides,0,0,0,0,18,0,0,0,7,0,25
ailtohlgroundaepcom,0,0,0,1,0,0,0,0,0,0,1
aim,4,0,0,0,0,0,0,0,0,0,4
aimed,4,0,0,8,0,0,0,5,5,0,22
aimee,0,0,0,0,0,0,0,0,0,12,12
aimeeahpeatonegmailcom,0,0,0,2,0,0,0,0,0,2,4
aimeeharlowfisglobalcom,0,0,0,0,0,0,0,0,0,5,5
aimeeharlowflsglobalcom,0,0,0,0,0,0,0,0,0,1,1
aiming,0,0,0,4,0,0,0,0,0,0,4
aint,28,0,0,0,0,0,0,0,0,0,28
aiohnsonokccanet,0,0,0,0,0,0,0,0,0,1,1
air,18,3,36,41,0,3,0,0,18,8,127
airline,0,0,0,2,0,0,0,0,0,0,2
airlines,0,0,0,4,0,0,0,0,0,0,4
airport,1,0,0,0,0,0,0,7,9,15,32
airs,0,0,0,2,0,0,0,0,0,0,2
aisle,0,0,0,0,0,0,4,0,0,0,4
ajernncdojgov,0,0,82,0,0,0,0,0,0,0,82
ajferatedvncom,0,0,0,0,41,0,4,0,28,0,73
ajohnsoncityofyukonokgov,0,0,0,0,0,0,0,0,0,2,2
ajohnsonokccanet,0,0,0,2,0,0,0,0,0,1,3
aka,0,0,0,4,0,0,0,0,0,0,4
akana,0,0,0,0,0,0,0,0,0,2,2
akandersonaolcom,0,0,0,0,0,0,0,0,1,0,1
akard,0,0,0,0,0,0,0,0,0,2,2
akargesokstatechambercom,0,0,0,0,0,0,0,0,0,7,7
akers,6,0,0,3,41,0,4,0,26,3,83
akhunsakergmailcom,0,0,0,0,0,2,0,0,0,0,2
akimi,0,0,0,0,39,0,4,0,26,0,69
akin,0,0,0,0,0,0,0,0,5,0,5
akins,3,0,0,0,1,3,0,0,0,0,7
aktelcolawcom,0,0,0,0,0,0,0,0,0,3,3
akvavit,0,0,0,0,0,0,0,0,0,1,1
ala,0,0,7,0,0,0,0,0,0,0,7
alabama,4,1,10,8,0,0,0,0,2,0,25
alamanmaggov,0,2,0,0,0,0,0,0,0,0,2
alammeterdirectvcom,0,2,0,0,0,0,0,0,0,0,2
alan,6,0,2,79,90,0,23,0,56,7,263
alanandkathyparkergmailcom,0,0,0,0,0,2,0,0,0,0,2
alanbrinkmeyerjumpfastercom,0,0,0,16,0,0,0,0,0,0,16
alanglanzerusarmymil,0,0,0,0,0,0,0,0,0,1,1
alansalmonosbiokgov,0,0,0,0,0,0,0,0,0,2,2
alarmed,0,0,0,6,0,0,0,0,0,0,6
alarmingly,0,0,0,0,0,0,0,0,4,0,4
alaska,0,0,1,16,1,0,0,0,2,0,20
alaymanonenetnet,0,0,0,0,0,0,0,0,0,2,2
albany,0,0,1,0,0,0,0,0,0,0,1
albert,0,0,0,0,0,0,0,0,0,3,3
alberta,0,0,0,0,0,2,0,0,0,0,2
albertdoe,0,0,2,2,0,0,4,0,0,0,8
albertson,0,0,0,0,0,0,0,0,0,1,1
albin,0,0,0,0,0,0,0,0,0,2,2
albright,0,0,10,0,0,0,0,0,0,0,10
albro,37,0,8,11,0,0,13,0,1,1,71
albuquerque,0,0,0,3,0,0,0,0,0,0,3
alcohol,0,0,0,0,0,0,0,0,0,10,10
alcoholic,0,0,0,0,0,0,0,0,0,2,2
aldridge,1,0,0,0,0,0,0,0,0,0,1
aldridgeoksenategov,0,0,1,1,0,0,0,0,1,0,3
ale,3,0,0,0,0,0,0,0,0,0,3
alec,172,1,0,45,0,2,3,0,7,0,230
alecia,0,0,0,0,0,0,0,0,0,12,12
aleciageorgeoagokgov,108,14,0,48,0,0,35,2,2,6,215
alecorgciviljustice,52,0,0,0,0,0,5,0,0,0,57
alecorgciviljusticehttpsconnectemailsrvrcomowarediraspx,1,0,0,0,0,0,0,0,0,0,1
alert,6,0,14,54,8,10,0,0,10,0,102
alerting,6,0,0,0,0,0,0,0,0,0,6
alex,1,0,0,0,0,0,0,0,0,14,15
alexander,0,0,0,0,0,0,0,0,0,2,2
alexandertstefanovichuscgmil,0,0,0,0,0,0,0,0,0,2,2
alexayoussefouedu,0,0,0,0,0,0,0,0,0,1,1
alexcameron,0,0,0,0,0,0,0,0,0,1,1
alexcamerongriffincommunicafionsnet,0,0,0,0,0,0,0,0,0,2,2
alexcameronnewsnet,0,0,0,0,0,0,0,0,0,2,2
alexgerszewskigovokgov,0,0,0,0,0,0,0,0,0,3,3
alexis,0,0,0,0,0,0,7,0,0,0,7
alexlvenosbiokgov,0,0,0,0,0,0,0,0,0,2,2
alexspringerjournalrecordcom,0,0,0,0,0,0,0,0,0,3,3
alexweintzgovokgov,0,0,0,0,0,0,0,0,0,3,3
alfalfa,0,0,0,0,0,0,0,0,0,2,2
alfsocoattnet,0,0,0,0,0,0,0,0,0,2,2
algarin,0,0,0,0,0,0,0,0,0,3,3
alger,0,0,0,0,0,0,0,0,0,2,2
alhenryupcom,0,0,0,0,0,0,0,0,0,1,1
ali,0,0,0,16,0,0,0,0,0,0,16
alice,0,0,0,0,0,0,0,0,0,12,12
alicia,18,0,262,0,0,0,10,0,0,3,293
aliciamaddocksokwpuscourtsgov,0,0,0,0,0,0,0,0,0,2,2
alienate,0,0,0,3,0,0,0,0,0,0,3
alike,0,0,0,0,0,0,0,3,3,0,6
alimeyerkforcom,0,0,0,0,0,0,0,0,0,1,1
alindseyblackchroniclecom,0,0,0,0,0,0,0,0,0,3,3
aliplumgmailcom,0,0,0,2,0,0,0,0,0,2,4
alisa,4,0,0,0,0,0,0,0,0,0,4
alive,0,0,0,6,0,0,1,0,0,0,7
alj,0,0,0,41,0,0,0,0,0,0,41
all,229,140,175,693,66,16,65,5,147,23,1559
alleged,0,0,2,4,0,0,0,0,0,0,6
allegedly,0,0,0,0,0,0,0,0,5,0,5
alleges,0,0,0,10,0,0,0,0,0,0,10
alleging,0,0,6,0,0,0,0,0,0,0,6
allen,39,0,29,59,17,0,10,0,18,16,188
allenbrooksdojnhgov,0,0,0,6,0,0,0,0,0,0,6
allencordellpdcom,0,0,0,0,0,0,0,0,0,1,1
allenmailtoallenwrightdvncom,1,0,0,0,0,0,0,0,0,0,1
allennewsaolcom,0,0,0,0,0,0,0,0,0,3,3
allenoksenategov,0,0,0,0,0,1,0,0,1,0,2
allenpostenhcahealthcarecom,0,0,0,0,0,0,0,0,1,0,1
allenwrightdvncom,8,0,4,10,3,0,2,0,16,3,46
allenwrightdvncommailtoallenwrightdvncom,2,0,0,0,0,0,0,0,0,0,2
alleviate,0,0,0,4,0,0,0,0,0,0,4
alliance,0,0,0,9,0,1,1,0,1,2,14
allied,4,0,0,0,0,0,0,0,0,0,4
allies,1,0,1,7,0,0,0,0,0,0,9
allimportant,0,0,0,0,0,0,4,0,0,0,4
allinclusive,0,0,0,3,0,0,0,0,0,0,3
allison,0,0,38,0,0,0,8,0,0,1,47
allisondowntownokccom,0,0,0,0,0,0,0,0,1,0,1
allisonmartinagkygov,0,0,0,24,0,0,0,0,0,0,24
allisonmballgmailcom,0,0,0,0,0,0,0,0,0,1,1
allman,0,2,0,0,0,0,0,0,0,0,2
allocated,0,0,0,0,0,0,0,0,0,1,1
allotted,0,0,0,0,0,0,0,0,0,1,1
allow,9,0,15,39,6,0,8,0,6,2,85
allowed,11,0,0,14,0,1,5,0,3,0,34
allowing,1,0,0,23,0,0,0,2,7,0,33
allows,7,0,0,20,0,0,0,5,16,0,48
alltime,0,0,0,0,3,3,0,0,20,1,27
allysia,0,0,0,3,0,0,0,0,0,0,3
allysoncarsonoagokgov,0,0,0,2,0,0,0,0,0,2,4
